map_id,validation_status,reason,source_type,archetype
OSM_london_industrial_corridor_offset_w_2500m_500m_1315,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_london_industrial_corridor_offset_w_2500m_500m_1445,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_london_industrial_corridor_offset_w_2500m_500m_1550,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_london_industrial_corridor_offset_w_2500m_500m_1701,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_london_industrial_corridor_offset_w_2500m_500m_1809,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_london_industrial_corridor_offset_w_2500m_500m_1919,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_manhattan_midtown_exact_1000m_0m_1271,FAIL,osm_download_failed,osm,urban_grid
OSM_manhattan_midtown_exact_1000m_0m_1419,FAIL,osm_download_failed,osm,urban_grid
OSM_manhattan_midtown_exact_1000m_0m_1551,FAIL,osm_download_failed,osm,urban_grid
OSM_manhattan_midtown_exact_1000m_0m_1731,FAIL,osm_download_failed,osm,urban_grid
OSM_manhattan_midtown_exact_1000m_0m_1870,FAIL,osm_download_failed,osm,urban_grid
OSM_manhattan_midtown_exact_1500m_0m_1318,FAIL,osm_download_failed,osm,urban_grid
OSM_manhattan_midtown_exact_1500m_0m_1477,FAIL,osm_download_failed,osm,urban_grid
OSM_manhattan_midtown_exact_1500m_0m_1631,FAIL,osm_download_failed,osm,urban_grid
OSM_manhattan_midtown_exact_1500m_0m_1789,FAIL,osm_download_failed,osm,urban_grid
OSM_manhattan_midtown_exact_1500m_0m_1922,FAIL,osm_download_failed,osm,urban_grid
OSM_manhattan_midtown_exact_2500m_0m_1244,FAIL,osm_download_failed,osm,urban_grid
OSM_manhattan_midtown_exact_2500m_0m_1391,FAIL,osm_download_failed,osm,urban_grid
OSM_manhattan_midtown_exact_2500m_0m_1531,FAIL,osm_download_failed,osm,urban_grid
