# Escenarios a diversificar (aparecen en pares con |r| >= 0.7)
# Generado por run_analysis.py --phase correlation. Total: 540 escenarios.
# Criterio: trabajar en estos para que su vector de features difiera del resto y baje |r|.

U1_CBD_Commuting_HelsinkiDowntown__TP11_ManyToOne  (# pares con |r|>=0.7: 13)
R9_ExtremeRange_200m__TP04_FewLarge  (# pares con |r|>=0.7: 13)
R6_SparseLongRange__TP02_LowLoad  (# pares con |r|>=0.7: 13)
R9_ExtremeRange_200m__TP03_ManySmall  (# pares con |r|>=0.7: 13)
R9_ExtremeRange_200m__TP01_Baseline  (# pares con |r|>=0.7: 13)
R9_ExtremeRange_200m__TP10_Storm  (# pares con |r|>=0.7: 13)
D2_PartitionedCity_MuleBridge__TP10_Storm  (# pares con |r|>=0.7: 12)
S6_FamilyGroups_SmallPersistent__TP07_BurstWindow  (# pares con |r|>=0.7: 12)
C4_CampusEvent_IngressEgress__TP02_LowLoad  (# pares con |r|>=0.7: 12)
C1_Campus_ClassChange__TP07_BurstWindow  (# pares con |r|>=0.7: 12)
R2_VillagesTrails_ThreeClusters__TP01_Baseline  (# pares con |r|>=0.7: 12)
U7_HighTimeVariance_HelsinkiDowntown__TP09_Bimodal  (# pares con |r|>=0.7: 12)
R10_TinyRange_5m__TP02_LowLoad  (# pares con |r|>=0.7: 12)
C1_Campus_ClassChange__TP04_FewLarge  (# pares con |r|>=0.7: 12)
S5_TwoLayer_StudentsStaff__TP04_FewLarge  (# pares con |r|>=0.7: 12)
C4_CampusEvent_IngressEgress__TP03_ManySmall  (# pares con |r|>=0.7: 12)
U5_WorkdayShort_HelsinkiDowntown__TP12_GroupToGroup  (# pares con |r|>=0.7: 12)
U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP02_LowLoad  (# pares con |r|>=0.7: 12)
S4_RandomMixing_NoHotspots__TP10_Storm  (# pares con |r|>=0.7: 12)
C6_EmergencyDrill_Evacuation__TP12_GroupToGroup  (# pares con |r|>=0.7: 12)
S1_StrongCommunities_SeparateClusters__TP12_GroupToGroup  (# pares con |r|>=0.7: 12)
